"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"EVV","Eaton Vance Limited Duration Income Fund","10.71","$1.24B","2003","n/a","n/a","https://old.nasdaq.com/symbol/evv",
"EIM","Eaton Vance Municipal Bond Fund","12.55","$950.54M","2002","n/a","n/a","https://old.nasdaq.com/symbol/eim",
"ETX           ","Eaton Vance Municipal Income 2028 Term Trust","20.8","$225.51M","2013","n/a","n/a","https://old.nasdaq.com/symbol/etx",
"EOT","Eaton Vance Municipal Income Trust","19","$289.5M","2009","n/a","n/a","https://old.nasdaq.com/symbol/eot",
"EVN","Eaton Vance Municipal Income Trust","12.25","$485.92M","1999","n/a","n/a","https://old.nasdaq.com/symbol/evn",
"ENX","Eaton Vance New York Municipal Bond Fund","11.28","$204.37M","2002","n/a","n/a","https://old.nasdaq.com/symbol/enx",
"EVY","Eaton Vance New York Municipal Income Trust","12.35","$66.71M","1999","n/a","n/a","https://old.nasdaq.com/symbol/evy",
"EVGBC","Eaton Vance NextShares Trust","99.88","$62.43M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/evgbc",
"EVSTC","Eaton Vance NextShares Trust","100.02","$45.01M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/evstc",
"EVLMC","Eaton Vance NextShares Trust II","100.04","$70.03M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/evlmc",
"ETJ","Eaton Vance Risk-Managed Diversified Equity Income Fund","9.24","$589.39M","2007","n/a","n/a","https://old.nasdaq.com/symbol/etj",
"EFR","Eaton Vance Senior Floating-Rate Fund","10.69","$393.91M","2003","n/a","n/a","https://old.nasdaq.com/symbol/efr",
"EVF","Eaton Vance Senior Income Trust","5.03","$190.47M","1998","n/a","n/a","https://old.nasdaq.com/symbol/evf",
"EVG","Eaton Vance Short Diversified Income Fund","11.23","$200.8M","2005","n/a","n/a","https://old.nasdaq.com/symbol/evg",
"EVT","Eaton Vance Tax Advantaged Dividend Income Fund","18.53","$1.36B","2003","n/a","n/a","https://old.nasdaq.com/symbol/evt",
"ETO","Eaton Vance Tax-Advantage Global Dividend Opp","20.15","$303.96M","2004","n/a","n/a","https://old.nasdaq.com/symbol/eto",
"ETG","Eaton Vance Tax-Advantaged Global Dividend Income Fund","13.15","$1B","2004","n/a","n/a","https://old.nasdaq.com/symbol/etg",
"ETB","Eaton Vance Tax-Managed Buy-Write Income Fund","13.05","$346.89M","2005","n/a","n/a","https://old.nasdaq.com/symbol/etb",
"EXD","Eaton Vance Tax-Managed Buy-Write Strategy Fund","8.67","$84.37M","2010","n/a","n/a","https://old.nasdaq.com/symbol/exd",
"ETY","Eaton Vance Tax-Managed Diversified Equity Income Fund","10.43","$1.57B","2006","n/a","n/a","https://old.nasdaq.com/symbol/ety",
"EXG","Eaton Vance Tax-Managed Global Diversified Equity Income Fund","6.94","$2.1B","2007","n/a","n/a","https://old.nasdaq.com/symbol/exg",
"EBAY","eBay Inc.","37.455","$29.82B","1998","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ebay",
"EBAYL","eBay Inc.","25.7","n/a","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ebayl",
"EBIX","Ebix, Inc.","17.6","$536.37M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/ebix",
"ECT","ECA Marcellus Trust I","0.3991","$7.03M","2010","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ect",
"ECHO","Echo Global Logistics, Inc.","18.12","$485.79M","2009","Transportation","Oil Refining/Marketing","https://old.nasdaq.com/symbol/echo",
"SATS","EchoStar Corporation","30.98","$3.03B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/sats",
"MOHO","ECMOHO Limited","4.8","$165.02M","2019","Consumer Services","Catalog/Specialty Distribution","https://old.nasdaq.com/symbol/moho",
"ECL","Ecolab Inc.","178.75","$51.69B","n/a","Basic Industries","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/ecl",
"EC","Ecopetrol S.A.","10.93","$22.47B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/ec",
"EDAP","EDAP TMS S.A.","2.12","$61.48M","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/edap",
"EDSA","Edesa Biotech, Inc.","2.4699","$21.88M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/edsa",
"EPC","Edgewell Personal Care","25.52","$1.39B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","https://old.nasdaq.com/symbol/epc",
"EIX","Edison International","62.06","$22.5B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/eix",
"EDNT","Edison Nation, Inc.","2.24","$13.57M","2018","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/ednt",
"EDIT","Editas Medicine, Inc.","24","$1.32B","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/edit",
"EDUC","Educational Development Corporation","5.1","$43.15M","n/a","Consumer Durables","Consumer Specialties","https://old.nasdaq.com/symbol/educ",
"EW","Edwards Lifesciences Corporation","228.41","$47.36B","n/a","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/ew",
"EGAN","eGain Corporation","8.23","$252.14M","1999","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/egan",
"EH","EHang Holdings Limited","12.99","$688.97M","2019","Transportation","Air Freight/Delivery Services","https://old.nasdaq.com/symbol/eh",
"EHTH","eHealth, Inc.","127.86","$3.26B","2006","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/ehth",
"EIDX","Eidos Therapeutics, Inc.","48.58","$1.87B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/eidx",
"EIGR","Eiger BioPharmaceuticals, Inc.","8.18","$200.89M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/eigr",
"EKSO","Ekso Bionics Holdings, Inc.","3.43","$19.99M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/ekso",
"EP^C","El Paso Corporation","44.5","n/a","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/ep^c",
"EE","El Paso Electric Company","68.1","$2.78B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/ee",
"LOCO","El Pollo Loco Holdings, Inc.","10.75","$377.22M","2014","Consumer Services","Restaurants","https://old.nasdaq.com/symbol/loco",
"ELAN","Elanco Animal Health Incorporated","24.29","$9.69B","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/elan",
"ELAT","Elanco Animal Health Incorporated","46.18","n/a","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/elat",
"ESTC","Elastic N.V.","61.37","$5.02B","2018","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/estc",
"ESLT","Elbit Systems Ltd.","121.2","$5.36B","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/eslt",
"EGO","Eldorado Gold Corporation","8.31","$1.37B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/ego",
"ERI","Eldorado Resorts, Inc.","16.7","$1.3B","n/a","Consumer Services","Hotels/Resorts","https://old.nasdaq.com/symbol/eri",
"SOLO","Electrameccanica Vehicles Corp. Ltd.","1.02","$37.79M","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/solo",
"SOLOW","Electrameccanica Vehicles Corp. Ltd.","0.3","n/a","n/a","Capital Goods","Auto Manufacturing","https://old.nasdaq.com/symbol/solow",
"ECOR","electroCore, Inc.","1.1","$32.96M","2018","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/ecor",
"ELMD","Electromed, Inc.","14.07","$119.29M","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/elmd",
"EA","Electronic Arts Inc.","115.15","$33.36B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ea",
"ELSE","Electro-Sensors, Inc.","3.29","$11.17M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/else",
"ESI","Element Solutions Inc.","8.82","$2.23B","2014","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/esi",
"ELVT","Elevate Credit, Inc.","1.33","$57.18M","2017","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/elvt",
"LLY","Eli Lilly and Company","157.29","$150.53B","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/lly",
"EFC","Ellington Financial Inc.","9.94","$435.77M","2010","Finance","Real Estate","https://old.nasdaq.com/symbol/efc",
"EFC^A","Ellington Financial Inc.","17.95","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/efc^a",
"EARN","Ellington Residential Mortgage REIT","8.23","$101.66M","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/earn",
"ELLO","Ellomay Capital Ltd.","15.5","$189.01M","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/ello",
"ECF","Ellsworth Growth and Income Fund Ltd.","9.59","$126.64M","1986","n/a","n/a","https://old.nasdaq.com/symbol/ecf",
"ECF^A","Ellsworth Growth and Income Fund Ltd.","25.11","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ecf^a",
"ESBK","Elmira Savings Bank NY (The)","11.38","$39.63M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/esbk",
"ELOX","Eloxx Pharmaceuticals, Inc.","2.1","$84.26M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/elox",
"ELTK","Eltek Ltd.","3.94","$17.26M","1997","Technology","Electrical Products","https://old.nasdaq.com/symbol/eltk",
"EMAN","eMagin Corporation","0.27","$13.85M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/eman",
"AKO.A","Embotelladora Andina S.A.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ako.a",
"AKO.B","Embotelladora Andina S.A.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ako.b",
"ERJ","Embraer S.A.","7.16","$1.32B","2000","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/erj",
"EMCF","Emclaire Financial Corp","21.9999","$59.59M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/emcf",
"EME","EMCOR Group, Inc.","63.31","$3.56B","n/a","Capital Goods","Engineering & Construction","https://old.nasdaq.com/symbol/eme",
"EMKR","EMCORE Corporation","2.58","$75.02M","1997","Technology","Semiconductors","https://old.nasdaq.com/symbol/emkr",
"EEX","Emerald Holding, Inc.","2.27","$162.17M","2017","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/eex",
"EBS","Emergent Biosolutions, Inc.","67.16","$3.51B","2006","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ebs",
"EMR","Emerson Electric Company","50.54","$30.92B","n/a","Energy","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/emr",
"MSN","Emerson Radio Corporation","0.6801","$14.31M","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://old.nasdaq.com/symbol/msn",
"EMMS","Emmis Communications Corporation","1.89","$25.14M","1994","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/emms",
"ESRT","Empire State Realty Trust, Inc.","8.9","$3.26B","2013","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/esrt",
"EIG","Employers Holdings Inc","34.06","$1.07B","2007","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/eig",
"EDN","Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor)","3.2","$140.01M","2007","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/edn",
"EMX","EMX Royalty Corporation","1.71","$141.75M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/emx",
"ENBL","Enable Midstream Partners, LP","3.17","$1.38B","2014","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/enbl",
"ENTA","Enanta Pharmaceuticals, Inc.","55.01","$1.1B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/enta",
"ENB","Enbridge Inc","29.4","$59.52B","n/a","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/enb",
"ENBA","Enbridge Inc","23.75","n/a","2018","Energy","Natural Gas Distribution","https://old.nasdaq.com/symbol/enba",
"EHC","Encompass Health Corporation","71.46","$7.03B","n/a","Health Care","Hospital/Nursing Management","https://old.nasdaq.com/symbol/ehc",
"ECPG","Encore Capital Group Inc","27.07","$841.82M","n/a","Finance","Finance Companies","https://old.nasdaq.com/symbol/ecpg",
"WIRE","Encore Wire Corporation","43.97","$906.4M","1992","Capital Goods","Metal Fabrications","https://old.nasdaq.com/symbol/wire",
"DAVA","Endava plc","39.84","$2.19B","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/dava",
"EXK","Endeavour Silver Corporation","1.54","$215.46M","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/exk",
"ENDP","Endo International plc","3.95","$881.26M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/endp",
"ELGX","Endologix, Inc.","0.76","$14.51M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/elgx",
"NDRA","ENDRA Life Sciences Inc.","0.8527","$11.5M","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/ndra",
"NDRAW","ENDRA Life Sciences Inc.","0.1999","n/a","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://old.nasdaq.com/symbol/ndraw",
"EIGI","Endurance International Group Holdings, Inc.","2.4","$339.87M","2013","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/eigi",
"ENIA","Enel Americas S.A.","7.97","$12.13B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/enia",
"ENIC","Enel Chile S.A.","3.84","$5.31B","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/enic",
"ENR","Energizer Holdings, Inc.","34.69","$2.41B","2015","Miscellaneous","Industrial Machinery/Components","https://old.nasdaq.com/symbol/enr",
"ENR^A","Energizer Holdings, Inc.","76.65","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/enr^a",
"WATT","Energous Corporation","0.9876","$34.2M","2014","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/watt",
"EFOI","Energy Focus, Inc.","0.3761","$5.98M","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/efoi",
"UUUU","Energy Fuels Inc","1.59","$177.15M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://old.nasdaq.com/symbol/uuuu",
"UUUU.WS","Energy Fuels Inc","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/uuuu.ws",
"EHR","Energy Hunter Resources, Inc.","n/a","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ehr",
"ERII","Energy Recovery, Inc.","7.58","$420.63M","2008","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/erii",
"ET","Energy Transfer L.P.","6.16","$16.57B","1996","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/et",
"ETP^C","Energy Transfer Operating, L.P.","17.79","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/etp^c",
"ETP^D","Energy Transfer Operating, L.P.","18.06","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/etp^d",
"ETP^E","Energy Transfer Operating, L.P.","18.85","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/etp^e",
"EPAC","Enerpac Tool Group Corp.","16.42","$981.07M","n/a","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/epac",
"ERF","Enerplus Corporation","1.84","$409.52M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/erf",
"ENS","Enersys","51.14","$2.16B","2004","Consumer Non-Durables","Telecommunications Equipment","https://old.nasdaq.com/symbol/ens",
"ENG","ENGlobal Corporation","0.86","$23.58M","n/a","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/eng",
"E","ENI S.p.A.","18.96","$33.87B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/e",
"ENLC","EnLink Midstream, LLC","1.15","$561.71M","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/enlc",
"ENLV","Enlivex Therapeutics Ltd.","5.2","$58.94M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/enlv",
"EBF","Ennis, Inc.","17.23","$449.03M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/ebf",
"ENOB","Enochian Biosciences, Inc.","3.72","$172.97M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/enob",
"ENVA","Enova International, Inc.","14.31","$450.8M","2014","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/enva",
"ENPH","Enphase Energy, Inc.","38.96","$4.83B","2012","Technology","Semiconductors","https://old.nasdaq.com/symbol/enph",
"NPO","EnPro Industries","40.26","$828.66M","n/a","Basic Industries","Metal Fabrications","https://old.nasdaq.com/symbol/npo",
"ENSV","ENSERVCO Corporation","0.196","$10.9M","n/a","Energy","Oilfield Services/Equipment","https://old.nasdaq.com/symbol/ensv",
"ESGR","Enstar Group Limited","150.29","$3.23B","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/esgr",
"ESGRO","Enstar Group Limited","24.46","$107624","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/esgro",
"ESGRP","Enstar Group Limited","24.96","$399360","n/a","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/esgrp",
"ETTX","Entasis Therapeutics Holdings Inc.","2.83","$37.62M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/ettx",
"ENTG","Entegris, Inc.","52.98","$7.15B","2000","Consumer Non-Durables","Plastic Products","https://old.nasdaq.com/symbol/entg",
"ENTX","Entera Bio Ltd.","1.98","$36.04M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/entx",
"ENTXW","Entera Bio Ltd.","0.3599","n/a","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/entxw",
"ETM","Entercom Communications Corp.","1.01","$135.97M","1999","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/etm",
"EAB","Entergy Arkansas, LLC","25.84","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/eab",
"EAE","Entergy Arkansas, LLC","25.29","n/a","2013","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/eae",
"EAI","Entergy Arkansas, LLC","25.55","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/eai",
"ETR","Entergy Corporation","101.27","$20.34B","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/etr",
"ELC","Entergy Louisiana, Inc.","25.88","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/elc",
"ELJ","Entergy Louisiana, Inc.","25.63","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/elj",
"ELU","Entergy Louisiana, Inc.","24.96","n/a","n/a","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/elu",
"EMP","Entergy Mississippi, LLC","25.8","n/a","2016","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/emp",
"ENJ","Entergy New Orleans, LLC","25.37","n/a","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/enj",
"ENO","Entergy New Orleans, LLC","25.7","n/a","2016","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/eno",
"ETI^","Entergy Texas Inc","25.155","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/eti^",
"EZT","Entergy Texas Inc","25.984","n/a","2014","Public Utilities","Electric Utilities: Central","https://old.nasdaq.com/symbol/ezt",
"EBTC","Enterprise Bancorp Inc","23.34","$276.36M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ebtc",
"EFSC","Enterprise Financial Services Corporation","27.3","$726.63M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/efsc",
"EPD","Enterprise Products Partners L.P.","16.34","$36.67B","n/a","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/epd",
"EVC","Entravision Communications Corporation","1.55","$130.75M","2000","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/evc",
"ELA","Envela Corporation","3.1","$83.47M","n/a","Consumer Services","Consumer Specialties","https://old.nasdaq.com/symbol/ela",
"ENV","Envestnet, Inc","57.52","$3.06B","2010","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/env",
"EVSI","Envision Solar International, Inc.","7.14","$37.5M","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/evsi",
"EVSIW","Envision Solar International, Inc.","2.27","n/a","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/evsiw",
"NVST","Envista Holdings Corporation","17.42","$2.77B","2019","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/nvst",
"EVA","Enviva Partners, LP","31.68","$1.06B","2015","Basic Industries","Forest Products","https://old.nasdaq.com/symbol/eva",
"ENZ","Enzo Biochem, Inc.","2.39","$113.66M","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/enz",
"EOG","EOG Resources, Inc.","41.84","$24.35B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/eog",
"EPAM","EPAM Systems, Inc.","209.94","$11.6B","2012","Technology","EDP Services","https://old.nasdaq.com/symbol/epam",
"EPZM","Epizyme, Inc.","17.67","$1.78B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/epzm",
"PLUS","ePlus inc.","64.04","$865.36M","1996","Technology","Retail: Computer Software & Peripheral Equipment","https://old.nasdaq.com/symbol/plus",
"EPR","EPR Properties","24.58","$1.92B","1997","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/epr",
"EPR^C","EPR Properties","16.86","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/epr^c",
"EPR^E","EPR Properties","26.1051","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/epr^e",
"EPR^G","EPR Properties","15.74","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/epr^g",
"EPSN","Epsilon Energy Ltd.","2.85","$78.05M","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/epsn",
"EQM","EQM Midstream Partners, LP","17.79","$3.69B","2012","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/eqm",
"EQT","EQT Corporation","13.37","$3.42B","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/eqt",
"EFX","Equifax, Inc.","127.97","$15.61B","n/a","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/efx",
"EQ","Equillium, Inc.","2.7341","$48.35M","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/eq",
"EQIX","Equinix, Inc.","694.95","$59.38B","2000","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/eqix",
"EQNR","Equinor ASA","13.04","$43.08B","n/a","Energy","Integrated oil Companies","https://old.nasdaq.com/symbol/eqnr",
"EQX","Equinox Gold Corp.","7.4","$1.6B","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/eqx",
"EQH","Equitable Holdings, Inc.","15.75","$7.1B","2018","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/eqh",
"EQH^A","Equitable Holdings, Inc.","22.84","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/eqh^a",
"ETRN","Equitrans Midstream Corporation","7.35","$1.69B","2018","Public Utilities","Natural Gas Distribution","https://old.nasdaq.com/symbol/etrn",
"EQBK","Equity Bancshares, Inc.","16.36","$252.05M","2015","Finance","Major Banks","https://old.nasdaq.com/symbol/eqbk",
"EQC","Equity Commonwealth","33.89","$4.13B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/eqc",
"EQC^D","Equity Commonwealth","26.87","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/eqc^d",
"ELS","Equity Lifestyle Properties, Inc.","63.4","$11.55B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/els",
"EQR","Equity Residential","69.79","$25.96B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/eqr",
"EQS","Equus Total Return, Inc.","1.15","$15.55M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/eqs",
"ERA","Era Group, Inc.","3.7","$78.85M","n/a","Transportation","Transportation Services","https://old.nasdaq.com/symbol/era",
"ERIC","Ericsson","8.72","$28.9B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/eric",
"ERIE","Erie Indemnity Company","176.84","$9.25B","n/a","Finance","Specialty Insurers","https://old.nasdaq.com/symbol/erie",
"EROS","Eros International PLC","3.05","$401.76M","2013","Consumer Services","Movies/Entertainment","https://old.nasdaq.com/symbol/eros",
"ERYP","Erytech Pharma S.A.","5.15","$92.38M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/eryp",
"ESCA","Escalade, Incorporated","7.35","$103.61M","n/a","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/esca",
"ESE","ESCO Technologies Inc.","76.77","$2B","n/a","Capital Goods","Telecommunications Equipment","https://old.nasdaq.com/symbol/ese",
"ESPR","Esperion Therapeutics, Inc.","37.51","$1.03B","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/espr",
"ESP","Espey Mfg. & Electronics Corp.","18.7","$44.9M","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/esp",
"GMBL","Esports Entertainment Group Inc.","3.41","$21.23M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/gmbl",
"GMBLW","Esports Entertainment Group Inc.","1.0979","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/gmblw",
"ESQ","Esquire Financial Holdings, Inc.","14.53","$111.84M","2017","Finance","Commercial Banks","https://old.nasdaq.com/symbol/esq",
"ESSA","ESSA Bancorp, Inc.","11.6","$130.97M","n/a","Finance","Banks","https://old.nasdaq.com/symbol/essa",
"EPIX","ESSA Pharma Inc.","4.05","$84.34M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/epix",
"ESNT","Essent Group Ltd.","25.54","$2.51B","2013","Finance","Property-Casualty Insurers","https://old.nasdaq.com/symbol/esnt",
"EPRT","Essential Properties Realty Trust, Inc.","11.22","$1.03B","2018","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/eprt",
"WTRG","Essential Utilities, Inc.","43.36","$10.62B","n/a","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/wtrg",
"WTRU","Essential Utilities, Inc.","57.63","n/a","2019","Public Utilities","Water Supply","https://old.nasdaq.com/symbol/wtru",
"ESS","Essex Property Trust, Inc.","260.84","$17.26B","1994","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/ess",
"ESTA","Establishment Labs Holdings Inc.","15.82","$369.02M","2018","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/esta",
