ticker	market cap	industry	sector	current price	gross margin	net income margin	expenses portion	ROE	ROA	receivables turnover days	inventories turnover days	total assets turnover days	liability/asset ratio	current ratio	acid-test ratio	revenue growth	net income growth	operating income growth	free cash flow growth	wacc	roic	excess return	economic profit	stockholders equity growth	dividend yield	dividend payout ratio	dcf	beta	 annual return	 annual risk	annual sharpe
MA	2.75E+11	Credit Services	Financial Services	273.98	1	0.391321617	0.470141244	0.905783939	0.229663653	47.31855999	0	569.821822	0.730333633	1.594361392	1.594361392	0.124098192	0.193071148	0.141049392	0.193953471	0.103648708	0.42746981	0.323821101	3924536151	-0.025643523	0.005689477	0.196320785	134.1386078	1.074125011	0.245025838	0.215093757	1.139158297
TSM	2.53E+11	Semiconductors	Technology	51.71	0.4943	0.349488661	0.107832236	0.239241554	0.175140159	44.34605456	51.58747768	678.3756465	0.265815898	2.626452913	2.387493156	0.111901107	0.14357901	0.129482876	0.405104849	0.073638447	0.206757928	0.133119481	6523247589	0.142785453	0.183422659	0.451492088	351.9400834	0.886275888	0.183356902	0.239390921	0.765930893
INTC	2.49E+11	Semiconductors	Technology	58.75	0.612259125	0.224524556	0.334098606	0.207150757	0.119685301	31.53431449	91.58956051	646.4011885	0.422510539	1.829975553	1.463508409	0.053010991	0.20046148	0.094002195	0.120094598	0.074195902	0.151099813	0.07690391	7578183421	0.067908718	0.025363035	0.386550484	80.34733256	0.798775413	0.13639112	0.241743121	0.564198557
HD	2.42E+11	Retail - Apparel & Specialty	Consumer Cyclical	225.61	0.341654823	0.090718898	0.200113328	-0.129622333	0.203175151	6.993458786	70.49035077	156.117197	0.964310968	1.193279066	0.344934462	0.058119189	0.12480164	0.087285225	0.10480538	0.096151459	0.341623175	0.245471716	6599372763	-0.586652135	0.020744917	0.460253746	156.6567139	1.052282334	0.16435432	0.220048122	0.746901716
VZ	2.34E+11	Communication Services	Communication Services	56.51	0.810589087	0.148724197	0.236309695	0.562464115	0.073714726	56.00124195	18.38734291	701.0984949	0.84657812	0.831875815	0.797165812	0.007861306	0.328271432	0.13893193	0.418292206	0.044902632	0.126621858	0.081719226	12338649980	0.376767642	0.04309043	0.529401489	181.4194997	0.434082738	0.03938985	0.171401387	0.229810567
PFE	2.14E+11	Drug Manufacturers	Healthcare	38.51	0.789612095	0.241384245	0.436132458	0.192227898	0.074950329	58.20926868	244.1615769	1151.256328	0.61535145	1.308072837	1.072009417	0.009291677	0.346864438	0.118209503	-0.073284206	0.070520034	0.123221628	0.052701594	5487444096	-0.01793411	0.035466681	0.729709156	58.1545676	0.735395289	0.041343466	0.199320267	0.207422289
T	2.12E+11	Communication Services	Communication Services	29.74	0.88377482	0.108291384	0.174456605	0.117123962	0.038457124	41.80614729	0	948.3400867	0.667053492	0.815354174	0.815354174	0.065802429	0.360149557	0.253954298	0.253095651	0.061518674	0.058165969	-0.003352706	-1259281377	0.195445741	0.053973062	0.774458901	116.3149365	0.722398996	-0.009418294	0.200504429	-0.046972997
MRK	1.97E+11	Drug Manufacturers	Healthcare	78.01	0.66677087	0.125562246	0.467325987	0.17596412	0.060776825	59.95779808	136.7010498	789.7538841	0.623981994	1.412404853	1.149328295	0.022501718	0.209297723	0.045326498	0.267662804	0.052142205	0.094387048	0.042244844	2251157013	-0.115981251	0.029535908	1.20550178	150.6890951	0.523235312	0.063479407	0.177073032	0.3584928
BAC	1.97E+11	Banks	Financial Services	22.66	1	0.296945349	0.44735661	0.081406548	0.009362007	296.3800304	0	10792.53985	0.883991906	363.6300961	363.6300961	-0.07643268	0.590194011	0.531905242	0.525516883	0.10263256	0.043260624	-0.059371936	-29495911524	0.017240177	0.015090829	0.182588568	18.04136947	1.584597944	0.125515677	0.332813665	0.377134986
KO	1.95E+11	Beverages - Non-Alcoholic	Consumer Defensive	45.4	0.615178345	0.159689707	0.347330131	0.298524973	0.070232651	36.7886363	71.72418853	826.5421762	0.766814948	1.134156272	1.028928425	-0.035322888	0.731317912	0.015220368	0.027385332	0.056183799	0.116330825	0.060147026	3147631179	-0.080399051	0.031111926	1.714189403	55.43112177	0.585306871	0.031703368	0.158896967	0.199521543
NVS	1.93E+11	Drug Manufacturers	Healthcare	84.75	0.6576	0.213981957	0.517344397	0.145811653	0.082540556	60.5132528	135.2487133	910.4836792	0.434972263	1.17703732	0.917334265	0.002519291	0.203353966	-0.071081165	0.046350687	0.049188352	0.109711832	0.060523481	6066290134	0.012592813	0.037104498	0.680159032	203.0668516	0.476688828	-0.00375372	0.175505957	-0.021387992
XOM	1.90E+11	Oil & Gas - Integrated	Energy	44.83	1	0.0602667	0.186995702	0.085980144	0.045592624	25.37120288	0	475.297703	0.473079579	0.819345609	0.512747431	-0.065013786	0.048305621	0.087412808	0.155386378	0.114776394	0.070194455	-0.044581939	-9873584832	0.020368238	0.039179528	0.936092706	16.62350884	1.301902151	-0.085274408	0.264165087	-0.32280726
NFLX	1.87E+11	Communication Services	Communication Services	424.68	0.347312008	0.05126816	0.142233985	0.151658474	0.031347678	0	0	493.0724847	0.79431777	1.316953079	1.316953079	0.29704351	0.736861349	0.549200513	3.29336078	0.084079145	0.054846465	-0.02923268	-192858590.9	0.329726702	0	0	-543.5323274	0.857499466	0.386084543	0.380563769	1.01450683
PEP	1.84E+11	Beverages - Non-Alcoholic	Consumer Defensive	131.67	0.548899657	0.11323063	0.403282516	0.56219762	0.09575802	39.21898098	37.15136618	416.4034971	0.83228998	1.191320008	1.044969105	0.001927837	0.185297077	0.019438297	-0.065084667	0.05775183	0.154270267	0.096518437	4551481568	-0.013309256	0.028381768	0.689747064	157.9688178	0.599905718	0.074284596	0.15704987	0.473000048
DIS	1.82E+11	Entertainment	Consumer Cyclical	101.06	0.459233454	0.172458591	0.193310654	0.201067743	0.09511921	49.87634069	17.10725222	619.6756306	0.494044817	0.936718993	0.860852048	0.074951539	0.094879777	0.044034172	-0.088417955	0.092456293	0.136121257	0.043664964	2772929180	0.183954555	0.015301428	0.269105657	95.96043843	1.040941143	0.012602295	0.251228296	0.050162721
NVDA	1.81E+11	Semiconductors	Technology	293.74	0.583148279	0.23309429	0.33389907	0.284073834	0.184553884	37.41148342	79.70776014	453.9190322	0.365434358	5.939077066	5.331823501	0.238957017	0.661641817	0.589513144	0.393624921	0.121843542	0.237421428	0.115577886	1102674327	0.167857456	0.00810819	0.200150701	136.7845572	1.259291577	0.621195248	0.437681362	1.419286499
CSCO	1.76E+11	Communication Equipment	Technology	41.46	0.622361553	0.16540803	0.372555396	0.162665436	0.072256044	40.13978636	30.39661741	828.6516961	0.540270197	2.64339413	2.585752651	0.019827618	20.77821283	0.091388836	0.063447415	0.082721674	0.103881859	0.021160185	1560542682	-0.082147807	0.02982803	11.3061505	805.6808321	0.925320563	0.0957961	0.235063039	0.407533657
CVX	1.73E+11	Oil & Gas - Integrated	Energy	92.89	0.680816837	0.040547915	0.042744203	0.040977656	0.024452838	37.71834626	71.79432837	657.54932	0.413324498	1.12342136	0.915111713	-0.045497569	-4.312306062	-1.411902313	-0.024265529	0.111420733	0.033766726	-0.077654007	-13858846466	-0.013530846	0.039625882	-1.979354793	80.91102146	1.297396203	0.006596325	0.275580817	0.023936082
BT	1.73E+11	Communication Services	Communication Services	13.05	0.51822	0.101700326	0.834675932	0.807894828	0.095767216	56.94015459	6.262734785	501.6741276	1.093948491	1.071001461	1.048924688	0.005096101	-0.007479557	-0.007124588	-0.179828508	0	0.111182774	0	0	2.271301381	0.040947816	0.609277734	-66.13117949	nan	#VALUE!	#VALUE!	#VALUE!
TM	1.73E+11	Autos	Consumer Cyclical	121.96	0.18906	0.074951682	0.101652651	0.120505404	0.043536989	230.2608337	36.08194221	604.3378405	0.614792894	1.061279518	0.924417189	0.021780086	0.01323952	0.016126461	0.01246898	0.00236643	0.057971544	0.055605115	18064226177	0.046139219	1.737063575	0.30058502	-23451.63676	0.634223865	-0.008955151	0.170893285	-0.052402006
ADBE	1.72E+11	Application Software	Technology	356.13	0.856854918	0.222805559	0.587359634	0.200916145	0.108478915	48.79354115	0	705.8013481	0.446123566	1.646444594	1.646444594	0.219643223	0.664024364	0.550894296	0.299562162	0.0937437	0.150618214	0.056874514	742850985	0.092914202	0	0	268.7520492	0.95498359	0.326407246	0.22325132	1.462061886
ABT	1.65E+11	Drug Manufacturers	Healthcare	93.03	0.571585363	0.098863816	0.3960815	0.097661142	0.045926699	60.10571451	103.7138922	789.543281	0.55564736	2.177572026	1.803374809	0.100599292	0.823025428	0.222461818	0.197872688	0.078527606	0.065614086	-0.012913519	-1056031515	0.092884946	0.01959519	1.350227341	134.4226316	0.883620553	0.149914146	0.223456084	0.67088863
CMCSA	1.65E+11	Entertainment	Consumer Cyclical	36.05	1	0.146479104	0.075764385	0.194246318	0.063575535	34.66946196	0	794.0648905	0.681007096	0.750023136	0.750023136	0.079105808	0.279501753	0.069964194	0.146622999	0.07362864	0.094201874	0.020573234	2553703047	0.075816596	0.025618005	0.25586363	72.40114328	0.953081964	0.068427743	0.22378125	0.305779608
ORCL	1.64E+11	Application Software	Technology	52.05	0.813789666	0.22484837	0.482060666	0.231632233	0.073585076	51.66922038	23.71055116	1100.009773	0.641430795	3.479741206	3.47068865	0.006768117	0.231768378	-0.01547724	0.014405763	0.075576677	0.093797947	0.018221269	1418326061	-0.105159945	0.014728509	0.375937447	54.00712249	0.891367303	0.054285783	0.198894567	0.272937486
CHL	1.59E+11	Communication Services	Communication Services	38.76	0.85654	0.159542571	0.690987126	0.116078996	0.076058167	23.09722157	35.29225477	737.1622078	0.342631566	1.06527681	1.046295841	0.003281148	-0.021900939	-0.036185948	-0.16509665	0.054434668	0.115670874	0.061236206	8926908032	0.032954529	0.057532494	0.55530377	132.8754774	0.499255638	-0.093962396	0.16290677	-0.576786318
LLY	1.51E+11	Drug Manufacturers	Healthcare	157.89	0.748473496	0.149011718	0.530604876	0.772572367	0.083813227	69.57029499	243.3844897	646.5040498	0.736290404	1.423250993	1.089958036	0.028216758	-3.238398113	0.18103862	0.089905789	0.03651617	0.16368346	0.127167291	2478462997	-0.230035311	0.022841997	-1.612719146	-1406.676303	0.332366283	0.152752943	0.195875238	0.779848155
NVO	1.47E+11	Biotechnology	Healthcare	63.13	0.84338	0.329451001	0.418714651	0.749548283	0.366689329	48.75022428	240.8670925	249.4155986	0.509335928	1.270082408	0.954107984	0.042466439	0.07540474	0.084743957	0.04131351	0.168697286	0.736581611	0.567884325	4290975174	0.050432782	0.133829839	0.397171665	107.9805795	0.386244303	0.039966296	0.211073024	0.189348194
PYPL	1.47E+11	Credit Services	Financial Services	125.43	1	0.134117023	0.847661071	0.115206766	0.044847701	50.93099818	0	983.342439	0.600580573	1.434275442	1.434275442	0.172538805	0.538857201	0.169932897	0.299343286	0.10265234	0.104194363	0.001542023	52408747.73	0.176795492	0	0	77.76848837	1.04168699	0.273038423	0.24631406	1.108497107
CRM	1.47E+11	Application Software	Technology	163.25	0.752587164	0.023576287	0.73244953	0.020579676	0.010193506	123.1806683	0	714.3944697	0.522501539	0.908360558	0.908360558	0.244697009	0.184694885	0.252973786	0.333531977	0.106333247	0.017547401	-0.088785846	-1455816377	0.568605776	0	0	81.86628097	1.072725929	0.191609168	0.244824061	0.782640265
TSLA	1.42E+11	Autos	Consumer Cyclical	768.21	0.199922465	-0.112681993	0.286350304	-0.349897196	-0.053197293	16.06745204	88.39901172	624.0939965	0.829883603	0.977507334	0.627896445	0.529061172	0.613727179	0.526216697	-73.39729808	0.123499575	-0.117214091	-0.240713666	-2427481017	0.791346639	0	0	-966.1099135	1.362504277	0.371939904	0.558429792	0.666045955
AZN	1.40E+11	Drug Manufacturers	Healthcare	53.47	0.79938	0.105887737	0.643949265	0.16023871	0.040335136	107.0996727	185.2095096	913.5389262	0.719137926	0.933788037	0.779217297	-0.029928801	0.106136261	0.07272071	-0.164977792	0.065527493	0.076959004	0.011431511	379548759	-0.113780307	0.083698332	1.611313073	81.90548817	0.545900081	0.11622943	0.235123265	0.494334025
SAP	1.39E+11	Application Software	Technology	116.57	0.703	0.167062499	0.452445059	0.147374225	0.082994092	92.32320771	0	686.9085839	0.434617468	1.247416471	1.247416471	0.046178269	0.017714741	0.014798604	-0.039263882	0.085574721	0.105979029	0.020404308	792989662.2	0.084854407	0.012936764	0.391030348	55.62138063	0.904417905	0.115770381	0.228157382	0.507414575
AMGN	1.39E+11	Biotechnology	Healthcare	236.36	0.817320795	0.286392548	0.397371498	0.413240076	0.095780241	51.75254787	245.412028	1119.209384	0.711376032	3.65232421	3.384853971	0.031592644	0.578036993	0.10287916	0.03245015	0.064703898	0.129546665	0.064842766	3081499288	-0.146563754	0.025012846	0.659830125	582.4231817	0.799573028	0.107793866	0.251512135	0.428583162
BMY	1.39E+11	Drug Manufacturers	Healthcare	61.36	0.72364468	0.144401659	0.519097048	0.177657165	0.075725821	68.06911384	96.57944698	708.7190835	0.584529828	1.523359877	1.371099536	0.106045788	0.887916264	0.316874872	0.442846692	0.070639678	0.117128905	0.046489227	710078996.2	0.538550795	0.02625151	1.204679542	115.3386762	0.763319085	0.019213726	0.273112933	0.070350846
COST	1.36E+11	Retail - Defensive	Consumer Defensive	307.92	0.126861107	0.021422482	0.099343267	0.230381625	0.074600572	0.182197796	31.09537497	99.02316348	0.674504942	1.008336622	0.464143209	0.06319255	0.124200609	0.081077901	0.944109109	0.064448492	0.147620098	0.083171606	1604339226	0.054284072	0.025539577	0.696707737	200.2330459	0.655385089	0.168918965	0.183353684	0.921273908
NKE	1.36E+11	Manufacturing - Apparel & Furniture	Consumer Cyclical	87.2	0.450592881	0.100527078	0.319021123	0.309749019	0.153041721	37.3373548	93.2696919	227.20427	0.497764153	2.573394691	1.754020556	0.070818917	0.206409406	0.142598104	0.268319256	0.080996051	0.246558399	0.165562348	2315169214	-0.027409911	0.012291127	0.357468416	59.64396062	0.815351069	0.131162345	0.222782188	0.588747001
MCD	1.33E+11	Restaurants	Consumer Cyclical	179.24	1	0.232749804	0.259781487	-0.951276609	0.146285223	28.98769753	0	550.4758667	1.068890259	1.77099337	1.750533271	-0.050887394	0.050530254	0.033559319	0.036748175	0.061996438	0.201025113	0.139028676	3623320465	-0.010011285	0.025833877	0.620952904	151.5088862	0.683888066	0.147548016	0.184518139	0.799639628
TMO	1.33E+11	Medical Diagnostics & Research	Healthcare	336.32	0.552417202	0.128727394	0.298442979	0.10099911	0.049434241	61.95265468	104.0143311	893.6775174	0.512268145	1.56231633	1.084453384	0.038230658	0.149039819	0.136505839	0.133204466	0.086534889	0.060044838	-0.026490051	-1113356408	0.077793978	0.003320174	0.103424925	141.4241498	0.987735294	0.21215971	0.218570509	0.970669424
MDT	1.31E+11	Medical Devices	Healthcare	97.9	0.691382478	0.129098554	0.468184468	0.07038986	0.037295936	71.98115146	141.5780128	1186.444087	0.472397714	2.655434808	2.276457705	0.134662489	0.119284343	0.118048152	0.105571724	0.066267496	0.044497238	-0.021770258	-1796355369	0.335582643	0.02053463	0.61585162	151.9244294	0.748001663	0.064417956	0.193833936	0.332335799
UTX	1.30E+11	Aerospace & Defense	Industrials	86.01	0.462934771	0.094955309	0.136615697	0.190287859	0.059535226	9.247411536	104.4761573	557.8717318	0.689191822	1.252551031	0.869664204	0.015663974	0.006562711	-0.004910669	-0.056983511	0.100244718	0.105619902	0.005375185	29798377.66	0.047227094	0.022796477	0.378618235	77.96005982	1.264951484	-0.019829391	0.257975304	-0.076865462
ABBV	1.26E+11	Drug Manufacturers	Healthcare	85.37	0.773371814	0.211190667	0.413105614	0.398350752	0.089258678	63.29403868	90.61180272	764.0065408	1.003499698	1.717620904	1.595359378	0.10876474	0.481183897	0.435257196	0.422675529	0.068137451	0.150733217	0.082595766	3229679137	-0.230051723	0.039082727	0.765437793	258.0391877	0.813093955	0.085464233	0.292007731	0.292677981
SNY	1.23E+11	Drug Manufacturers	Healthcare	49.06	0.6748	0.153991136	0.529100926	0.090392717	0.050985335	79.77075949	228.8790591	1093.36382	0.437711419	1.604272874	1.167987183	-0.009681234	0.101725072	-0.060200344	-0.043557475	0.050300631	0.069400642	0.019100011	1670132947	-0.024329497	0.064978485	0.762867468	180.7225988	0.53386549	0.014365442	0.182494648	0.078717059
ASML	1.22E+11	Semiconductors	Technology	288.35	0.45388	0.223789337	0.210813609	0.179536686	0.107051056	72.50011466	250.5878523	725.6108503	0.402423238	2.628647411	1.749033057	0.132302114	0.175838443	0.21750856	0.315660341	0.096967167	0.145759442	0.048792275	692129087.6	0.075464308	0.007701859	0.241699393	107.2607057	1.00952658	0.217538096	0.250257101	0.869258435
ACN	1.16E+11	Application Software	Technology	181.62	0.300116187	0.102564044	0.20241454	0.430082134	0.169002175	44.33791693	0	205.8657536	0.599110988	1.334466587	1.334466587	0.06334251	0.115624839	0.083849084	0.13847411	0.098099617	0.428740059	0.330640442	2957208517	0.206940994	0.01813935	0.411796763	136.9863108	0.97778303	0.149335332	0.205137315	0.727977414
DHR	1.15E+11	Medical Diagnostics & Research	Healthcare	164.45	0.543019995	0.142847413	0.375042315	0.110477425	0.061017708	68.15422042	78.46288612	820.4965095	0.442801502	1.376388595	1.035128439	0.013250396	0.011295302	0.015328566	0.024452131	0.082591484	0.079683435	-0.002908048	-124626903	0.04899518	0.00621394	0.13298957	77.04369873	0.934928666	0.202164343	0.198958878	1.016111194
FMX	1.14E+11	Beverages - Alcoholic	Consumer Defensive	63.93	0.38516	0.066815688	0.283120754	0.116943172	0.050189154	21.73835743	43.93148798	472.8445413	0.423662097	1.554766999	1.19872191	0.042592637	0.072431189	-0.004691141	0.049885503	0.069097752	0.073698903	0.004601152	98303875.99	0.020638715	0.054391552	0.401573055	499.5913091	0.770368006	-0.038338041	0.234467019	-0.163511445
NEE	1.13E+11	Utilities - Regulated	Utilities	230.1	1	0.238413342	0.725337294	0.150076114	0.043521377	41.60109407	0	1819.979953	0.714486866	0.614133377	0.502274168	0.022579565	0.309525355	0.072695571	0.053240122	0.022261342	0.070035214	0.047773871	2777886797	0.137006413	0.027681254	0.445595795	-5359.395304	0.276767997	0.176090027	0.157434179	1.118499351
PM	1.12E+11	Tobacco Products	Consumer Defensive	72.2	0.397042405	0.154265038	0.012084549	-0.56459627	0.179653005	25.41292401	319.2261481	301.5333171	1.319733706	1.133898893	0.603408533	-0.127173321	0.003248342	-0.019166267	0.07113968	0.075402528	0.399737624	0.324335097	5645750042	-0.016132056	0.048131229	0.954429091	31.91137573	0.855365306	0.009928067	0.254097013	0.039071955
PTR	1.12E+11	Oil & Gas - Integrated	Energy	33.93	0.30676	0.021208441	0.258192949	0.038053383	0.01875434	10.05389823	42.37938863	442.9280658	0.432704967	0.731261167	0.451628418	0.00275124	0.317488258	-0.014973289	0.44682256	0.088766949	0.026781873	-0.061985076	-15607942278	-0.011238537	0.001913429	0.765670312	16.02108997	0.90057423	-0.213324148	0.266693084	-0.799886314
TMUS	1.10E+11	Communication Services	Communication Services	88.97	0.712374279	0.078684776	0.370559058	0.112541215	0.035586236	20.18815612	45.14889994	742.4073749	0.693211789	1.092678439	0.977134612	-0.014699716	0.980758088	0.349811284	-0.092485596	0.038821026	0.068937699	0.030116673	1139518174	0.13118908	0.000837591	0.024966112	-122.0748426	0.289627952	0.181547724	0.181389488	1.000872355
LMT	1.09E+11	Aerospace & Defense	Industrials	390.3	0.12074544	0.085519504	0.021704117	1.470780459	0.094168891	17.7605299	33.24423616	320.8599485	0.964635811	1.216114978	0.906598839	0.056396693	0.320191791	0.092738586	0.427427972	0.091659282	0.271033388	0.179374105	2948075542	-0.77021104	0.025491384	0.577013521	368.5226402	1.024298772	0.166660975	0.226588066	0.735524063
IBM	1.09E+11	Application Software	Technology	122.58	0.474336501	0.122903279	0.326504022	0.574930773	0.079807838	38.87416443	14.39482202	548.5111106	0.860434983	1.21720207	1.173725469	-0.035229826	0.015896697	-0.12262146	-0.008111931	0.090950491	0.158474054	0.067523564	4023459977	0.128160708	0.040144282	0.605072288	179.5643283	1.189252437	-0.030699548	0.257615464	-0.11916811
WFC	1.08E+11	Banks	Financial Services	26.32	0.731082654	20.8637566	4.697588161	0.110870508	0.01149839	0	0	631405.5779	0.896409717	1.761008359	1.761008359	0.32930724	-0.031039306	-0.062125357	21.74971204	0.066777872	0.041544723	-0.025233149	-13312033507	0.003919156	0.029815084	0.352775372	231.1383122	1.201529627	-0.101456209	0.273280014	-0.371253673
AMT	1.07E+11	Communication Services	Communication Services	240.26	0.994145855	0.182003618	0.140492643	0.209603078	0.035059489	20.34820299	0	1730.754582	0.813208672	0.73030714	0.73030714	0.132686054	0.209350452	0.135311078	0.200638211	0.042007495	0.044997039	0.002989544	91719455.6	0.084885049	0.017710994	0.949957932	579.3949115	0.498268279	0.209048795	0.199586668	1.047408612
UNP	1.06E+11	Transportation & Logistics	Industrials	156.38	1	0.293868135	0.623917881	0.298495328	0.109104373	25.30193703	0	942.861656	0.638778582	0.997606856	0.997606856	-0.017124956	0.177589089	-0.001509181	0.133775528	0.100186895	0.158019958	0.057833063	2353190432	-0.020771749	0.023207093	0.388878766	73.75417115	1.135944581	0.119589571	0.25442154	0.470044993
CHTR	1.06E+11	Communication Services	Communication Services	513.44	1	0.079251679	0.545595496	1.263833078	0.020778646	12.93174526	0	1185.289382	0.800967535	0.29965851	0.29965851	0.515248276	-2.445109926	0.58028369	1.54592348	0.054067957	0.028771009	-0.025296948	-2076652617	-175.0266624	0.001341623	0.051887196	3063.183261	1.08587934	0.249733206	0.272356998	0.916933319
AVGO	1.06E+11	Semiconductors	Technology	264.87	0.503808006	0.174352027	0.355383933	0.169729386	0.082102392	48.77724757	49.13195382	846.7308984	0.557288478	3.45267032	3.032126966	0.427351283	1.080704496	-0.90509061	0.715656912	0.089147849	0.094895391	0.005747542	39950480.31	0.756942899	0.021553302	0.543029072	1061.157605	0.940748888	0.152948999	0.265891785	0.575230254
GSK	1.04E+11	Drug Manufacturers	Healthcare	41.99	0.66072	0.134568755	0.461875075	-3.71874314	0.06607589	78.20482831	198.4680336	699.0329324	0.900668067	0.914217786	0.636042749	-0.015870404	0.504159455	0.27824656	0.04948549	0.057690374	0.15235167	0.094661296	3121885029	-12.6770253	0.019342044	2.161179424	64.63129999	0.565509519	0.004521935	0.167357282	0.027019649
TXN	1.02E+11	Semiconductors	Technology	111.54	0.625738236	0.289404309	0.221751457	0.436671894	0.24310711	31.15268349	130.8253547	426.4752904	0.428938376	3.465997312	2.634432201	0.022051724	0.140245322	0.085866299	0.111427528	0.105384486	0.292179218	0.186794732	2668362032	-0.02846556	0.023698211	0.514064718	64.87770129	1.108995375	0.167354529	0.237442386	0.704821628
